"Downregulatedgenes","log2FoldChange","pvalue"
"ENSDARG00000000542",-4.94800247780278,0.00401717138926849
"ENSDARG00000000906",-11.5029897694422,7.78063637259014e-09
"ENSDARG00000001057",-2.09334529622876,0.0454806126096793
"ENSDARG00000001169",-5.43067572142196,0.00979167826473482
"ENSDARG00000001259",-6.43452723557078,0.00535256058516056
"ENSDARG00000001686",-5.67551921332938,0.00338678327552543
"ENSDARG00000001712",-6.48955042357716,0.0392846280789524
"ENSDARG00000001733",-4.7979285382192,0.00951353184299827
"ENSDARG00000001782",-4.28270423248932,0.0241724076242658
"ENSDARG00000001818",-2.687452482362,0.0204581856409451
"ENSDARG00000001971",-3.67548334109031,0.0217303792365066
"ENSDARG00000001976",-5.9161188195682,0.00152126694957706
"ENSDARG00000002259",-7.17494940734489,0.00298033665785788
"ENSDARG00000002508",-4.80423502734619,0.00146791552458276
"ENSDARG00000002771",-3.47383881579162,0.00961053885130909
"ENSDARG00000002826",-3.94468610444122,0.0128576858867461
"ENSDARG00000002933",-4.14180154198013,0.00587717173038293
"ENSDARG00000003084",-3.10053444348267,0.00522258365940787
"ENSDARG00000003153",-2.27579239459208,0.0209319038684718
"ENSDARG00000003216",-5.09107041499918,0.000346868792658395
"ENSDARG00000003373",-2.20165278191821,0.0388278569495092
"ENSDARG00000003411",-4.33432596694342,0.00142567278332824
"ENSDARG00000003420",-3.2999926661595,0.00646087882304342
"ENSDARG00000003599",-1.86365508431801,0.0299121554983524
"ENSDARG00000003693",-1.87167589415087,0.0485077074422279
"ENSDARG00000003811",-2.75881858453242,0.0188406153480541
"ENSDARG00000003974",-3.52477801477099,0.000693892622100527
"ENSDARG00000004018",-5.07157801643547,0.0126848995996398
"ENSDARG00000004260",-3.53695947808265,0.0233837878020363
"ENSDARG00000004312",-2.79583258642391,0.0145275005264497
"ENSDARG00000004539",-4.75782982856028,0.00911956340684361
"ENSDARG00000004577",-3.90413677396405,0.0344968319138106
"ENSDARG00000004736",-4.50434166964322,0.00553967134291033
"ENSDARG00000004906",-4.11105948137865,0.0147245620090321
"ENSDARG00000004975",-6.89864009454361,0.00249016384354614
"ENSDARG00000005034",-3.9787749836462,0.043486517882278
"ENSDARG00000005085",-7.71144223066778,4.11471928794474e-05
"ENSDARG00000005121",-2.56681877341924,0.0434422966772988
"ENSDARG00000005218",-3.25391210748029,0.0165660541544872
"ENSDARG00000005314",-6.36988718745302,0.0307376820698275
"ENSDARG00000005332",-4.78516608272761,0.045673548921089
"ENSDARG00000005343",-2.2655628896482,0.0337281273388628
"ENSDARG00000005419",-3.24791983002071,0.0414505571663973
"ENSDARG00000005423",-1.73848312300318,0.0457000091877681
"ENSDARG00000005629",-3.0821827166902,0.0316154396971749
"ENSDARG00000005643",-4.59714341267403,0.000249111515506647
"ENSDARG00000005926",-3.33901189835596,0.00047370516353082
"ENSDARG00000006092",-3.8555038079553,0.00906227485265675
"ENSDARG00000006112",-4.79009162548915,0.00514497793931807
"ENSDARG00000006215",-3.77742818152568,0.0109545581213988
